"","CRN","Time","Days","Course Location","SEC","Seats","Title","Old GE"," New GE","Instructor","Units"
"34","62653","12:10 - 2:00 PM","TR","AAS 155AREMOTE TBA","001","15","Afram Dance & Culture","AH","AH VL WC","Davidson, J","4.0"
"35","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"36","62111","10:00 - 11:50 AM","MW","AAS 176REMOTE TBA","001","25","Politics of Resources","AH SS","SS WC","Mukiibi, E","4.0"
"37","62113","12:10 - 1:30 PM","MW","AAS 185REMOTE TBA","001","0","Topics in Film","AH D W","AH DD VL WE","White, E","4.0"
"38","@","TBA",NA,"AAS 192TBA","-","0","Intern Afram StudiesNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"39","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"40","@","TBA",NA,"AAS 197TTBA","-","0","Tutoring Bl StudiesNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"41","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"42","@","TBA",NA,"AAS 198TBA","-","0","Directed Gp StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"43","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"44","@","TBA",NA,"AAS 199TBA","-","0","Special StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"45","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"46","@","TBA",NA,"AAS 299TBA","-","0","ResearchNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"47","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"48","30077","3:30 - 5:00 PM","MW","ABG 200BREMOTE TBA","001","0","Integrated Animal Bio IINo GE Credit",NA,"                              No GE Credit","Kueltz, D","3.0"
"49","30078","TBA",NA,"ABG 200BTBA","002","8","Integrated Animal Bio IINo GE Credit",NA,"                              No GE Credit","The Staff
                       ","3.0"
"50","62879","10:00 - 11:50 AM","TR","ABG 205REMOTE TBA","001","1","Advn Nutri EngergeticsNo GE Credit",NA,"                              No GE Credit","3.0",NA
"51","62879","TBA",NA,"ABG 205REMOTE TBA","001","1","Advn Nutri EngergeticsNo GE Credit",NA,"                              No GE Credit","3.0",NA
"52","@","TBA",NA,"ABG 211TBA","001","7","Animal Biotech GeneticsNo GE Credit",NA,"                              No GE Credit","Denicol,Maga","3.0"
"53","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"54","@","TBA",NA,"ABG 211TBA","001","7","Animal Biotech GeneticsNo GE Credit",NA,"                              No GE Credit","Denicol,Maga","3.0"
"55","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"56","30080","10:00 - 10:50 AM","MW","ABG 255REMOTE TBA","001","-1","Stress PhysiologyNo GE Credit",NA,"                              No GE Credit","Kueltz, D","2.0"
"57","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"58","30081","TBA",NA,"ABG 290TBA","001","0","Animal Biology SeminarNo GE Credit",NA,"                              No GE Credit","Yang, X","1.0"
"59","30082","TBA",NA,"ABG 290TBA","002","8","Animal Biology SeminarNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","1.0"
"60","@","TBA",NA,"ABG 290CTBA","-","0","Research ConferenceNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","1.0"
"61","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"62","@","TBA",NA,"ABG 298TBA","-","0","Group StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"63","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"64","@","TBA",NA,"ABG 299TBA","-","0","ResearchNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"65","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"66","@","TBA",NA,"ABG 396TBA","-","0","Teaching Asst Train PracNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"67","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"68","61990","9:00 - 11:50 AM","T","ABI 050AREMOTE TBA","A01","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"69","61990","8:00 - 8:50 AM","R","ABI 050AREMOTE TBA","A01","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"70","61991","2:10 - 5:00 PM","T","ABI 050AREMOTE TBA","A02","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"71","61991","8:00 - 8:50 AM","R","ABI 050AREMOTE TBA","A02","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"72","61992","9:00 - 11:50 AM","F","ABI 050AREMOTE TBA","A03","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"73","61992","8:00 - 8:50 AM","R","ABI 050AREMOTE TBA","A03","0","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"74","61993","2:10 - 5:00 PM","F","ABI 050AREMOTE TBA","A04","10","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"75","61993","8:00 - 8:50 AM","R","ABI 050AREMOTE TBA","A04","10","Animal Biology LabNo GE Credit",NA,"                              No GE Credit","Kimsey,Vannette","2.0"
"76","30211","9:00 - 10:20 AM","TR","ABI 050CREMOTE TBA","001","15","Animal BiologyNo GE Credit",NA,"                              No GE Credit","Attardo,Chiu","3.0"
"77","30212","4:40 - 6:00 PM","TR","ABI 050CREMOTE TBA","002","29","Animal BiologyNo GE Credit",NA,"                              No GE Credit","Attardo,Chiu","3.0"
"78","@","TBA",NA,"ABI 092TBA","-","0","InternshipNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"79","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"80","@","TBA",NA,"ABI 098TBA","-","0","Group StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"81","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"82","@","TBA",NA,"ABI 099TBA","-","0","Special StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"83","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"84","62182","8:00 - 8:50 AM","MTWR","ABI 103REMOTE TBA","001","178","Animal Biochem & MetabolNo GE Credit",NA,"                              No GE Credit","Pettey, L","5.0"
"85","62182","8:00 - 8:50 AM","F","ABI 103REMOTE TBA","001","178","Animal Biochem & MetabolNo GE Credit",NA,"                              No GE Credit","Pettey, L","5.0"
"86","@","TBA",NA,"ABI 189TBA","-","0","Senior PracticumNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","2.0"
"87","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"88","@","TBA",NA,"ABI 189DTBA","-","0","Senior Practicum DiscussNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","1.0"
"89","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"90","@","TBA",NA,"ABI 192TBA","-","0","InternshipNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"91","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"92","@","TBA",NA,"ABI 198TBA","-","0","Group StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"93","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"94","@","TBA",NA,"ABI 199TBA","-","0","Special StudyNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","
						
                        V"
"95","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"96","30341","1:10 - 4:00 PM","M","ABT 049WCAE","A01","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"97","30341","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A01","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"98","30342","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A02","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"99","30342","1:10 - 4:00 PM","T","ABT 049WCAE","A02","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"100","30343","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A03","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"101","30343","1:10 - 4:00 PM","W","ABT 049WCAE","A03","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"102","30344","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A04","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"103","30344","1:10 - 4:00 PM","R","ABT 049WCAE","A04","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"104","30345","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A05","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"105","30345","1:10 - 4:00 PM","F","ABT 049WCAE","A05","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"106","30346","9:00 - 9:50 AM","M","ABT 049REMOTE TBA","A06","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"107","30346","9:00 - 11:50 AM","S","ABT 049WCAE","A06","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"108","30347","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B01","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"109","30347","1:10 - 4:00 PM","M","ABT 049WCAE","B01","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"110","30348","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B02","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"111","30348","1:10 - 4:00 PM","T","ABT 049WCAE","B02","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"112","30349","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B03","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"113","30349","1:10 - 4:00 PM","W","ABT 049WCAE","B03","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"114","30350","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B04","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"115","30350","1:10 - 4:00 PM","R","ABT 049WCAE","B04","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"116","30351","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B05","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"117","30351","1:10 - 4:00 PM","F","ABT 049WCAE","B05","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"118","30352","11:00 - 11:50 AM","M","ABT 049REMOTE TBA","B06","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"119","30352","9:00 - 11:50 AM","S","ABT 049WCAE","B06","0","Field Eqpt Operation","SE","QL SE VL","Frank, D","2.0"
"120","62896","10:00 - 12:50 PM","W","ABT 060WCAE","001","3","Unmanned Aerial SystemsNo GE Credit",NA,"QL SE VL","Moghimi, A","4.0"
"121","62896","9:00 - 10:20 AM","TR","ABT 060REMOTE TBA","001","3","Unmanned Aerial SystemsNo GE Credit",NA,"QL SE VL","Moghimi, A","4.0"
"122","62896","TBA",NA,"ABT 060REMOTE TBA","001","3","Unmanned Aerial SystemsNo GE Credit",NA,"QL SE VL","Moghimi, A","4.0"
"123","@","TBA",NA,"ABT 098TBA","-","0","Directed Gp StudyNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"124","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"125","@","TBA",NA,"ABT 099TBA","-","0","Special StudyNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"126","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"127","62325","1:10 - 3:00 PM","R","ABT 110REMOTE TBA","001","21","Irrigation/Water Mgmt","SE","SE SL","Kisekka, I","4.0"
"128","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"129","62325","12:10 - 1:00 PM","TR","ABT 110REMOTE TBA","001","21","Irrigation/Water Mgmt","SE","SE SL","Kisekka, I","4.0"
"130","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"131","30407","9:00 - 11:50 AM","F","ABT 142REMOTE TBA","001","0","Eqpt/Tech for Small Farm","SE","QL SE VL","Frank, D","2.0"
"132","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"133","30407","8:00 - 8:50 AM","F","ABT 142REMOTE TBA","001","0","Eqpt/Tech for Small Farm","SE","QL SE VL","Frank, D","2.0"
"134","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"135","30408","9:00 - 11:50 AM","F","ABT 150REMOTE TBA","A01","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"136","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"137","30408","9:00 - 10:20 AM","TR","ABT 150REMOTE TBA","A01","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"138","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"139","30409","1:10 - 4:00 PM","F","ABT 150REMOTE TBA","A02","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"140","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"141","30409","9:00 - 10:20 AM","TR","ABT 150REMOTE TBA","A02","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"142","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"143","30410","1:10 - 4:00 PM","R","ABT 150REMOTE TBA","A03","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"144","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"145","30410","9:00 - 10:20 AM","TR","ABT 150REMOTE TBA","A03","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"146","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"147","30411","9:00 - 10:20 AM","TR","ABT 150REMOTE TBA","A04","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"148","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"149","30411","9:00 - 11:50 AM","F","ABT 150REMOTE TBA","A04","0","Intro to GIS","SE","SE VL","Dahlke, H","4.0"
"150","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.","*","Cross-listed","* Cross-listed course. See details for more information.",NA,NA,"* Cross-listed course. See details for more information.",NA
"151","30412","9:00 - 11:50 AM","R","ABT 163REMOTE TBA","001","9","Aquaculture Sys Engr","SE","OL QL SE SL VL WE","Hung, T","3.0"
"152","@","TBA",NA,"ABT 190CTBA","-","0","Research ConferenceNo GE Credit",NA,"SE","The Staff
                       ","1.0"
"153","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"154","@","TBA",NA,"ABT 192TBA","-","0","Intern-Ag Eng TechNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"155","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"156","@","TBA",NA,"ABT 197TTBA","-","0","Tutor Appl Biol Sys TechNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"157","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"158","@","TBA",NA,"ABT 198TBA","-","0","Directed Gp StudyNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"159","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"160","@","TBA",NA,"ABT 199TBA","-","0","Special StudyNo GE Credit",NA,"SE","The Staff
                       ","
						
                        V"
"161","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"162","30546","2:10 - 4:00 PM","TR","ABT 212REMOTE TBA","001","2","Zero Net EnergyNo GE Credit",NA,"                              No GE Credit","Kornbluth, K","4.0"
"163","30546","TBA",NA,"ABT 212TBA","001","2","Zero Net EnergyNo GE Credit",NA,"                              No GE Credit","Kornbluth, K","4.0"
"164","@","10:00 - 11:50 AM","MW","ABT 289AREMOTE TBA","001","10","Agri & Natural ResourcesNo GE Credit",NA,"                              No GE Credit","Kornbluth, K","
						
                        V"
"165","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.","@","Denotes","@ Denotes consent of instructor required. Contact department for CRN.",NA,NA,"@ Denotes consent of instructor required. Contact department for CRN.",NA
"166","@","TBA",NA,"ABT 290CTBA","-","0","Grad Reserch ConferenceNo GE Credit",NA,"                              No GE Credit","The Staff
                       ","1.0"
